Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-44-8120-01A	0.0308371806825379	0	0.128288570368037	0.049706312948316	0	0.12642957839946	0	0.00705736216951439	0.0219472893429677	0	0	0.00302016334619974	0.0168326129839928	0.0566755205316526	0.0141980037966082	0.191066751445473	0.124574535609015	0.0426110233184302	0.162024889951213	0	0.000169617329575999	0.0245605877770061	0.01	0.2606271328862	0.971256183263485
TCGA-99-8025-01A	0.0336314215933038	0	0.114273674145627	0.0259817699003942	0	0.186153638858059	0	0.0198714925348629	0.0513965135528743	0	0	0.024244337536666	0	0.230800688801326	0.0877429119203985	0.183939720684384	0	0.0051825788258828	0.036426737313637	0	0	0.000354514332583198	0.01	0.248698609989714	0.986677232503692
TCGA-50-6594-01A	0	0.00139190498391931	0.0578982342778898	0	0	0.099903823201641	0	0.0261182569085038	0.000762616177083813	0	0	0.0576781727689398	0.0259116968591232	0.191572481569109	0	0.235060059682365	0.134958152582156	0.0633589952790437	0.0951796813632211	0	0	0.0102059243470042	0.01	0.258778781658642	0.985403650888461
TCGA-78-7161-01A	0.00120079860539589	0	0.21073016138983	0	0	0.314260943424783	0	0	0.0721286107819361	0	0	0.0299270596856148	0.00501955759306643	0.140739454773301	0.057734020821847	0.0414932430836732	0	0.0606405846569292	0.0419091810226412	0	0	0.024216384160982	0.25	0.0787976827435847	1.0458109522648
TCGA-55-7903-01A	0.0652451994417242	0	0.022790149368945	0.198636169283662	0	0.0135296065446393	0.0640922915508527	0.0232310203565582	0.0494331795594783	0	0.0553216360032934	0.00104494740224297	0.0139304510190138	0.0849502712323207	0.139013315052577	0.1141007114081	0.0549599654518851	0.0698921286918945	0.0211233978465006	0.00398047018510656	0	0.00472508960120544	0	0.391572660766394	0.921907180502357
TCGA-38-4632-01A	0.0246161568153028	0.00387890241599479	0	0	0	0.158079558855425	0.0484940747675405	0.0201890434780718	0.0106776902713265	0.0281128106843915	0	0.0021958445063033	0.00994871346146538	0	0.0663322319721327	0.255845003952994	0.219496401672995	0.0589464576832359	0.081426974982439	0	0	0.0117601344803822	0	0.357047201715985	0.935633908441356
TCGA-64-1677-01A	0.044032346954566	0	0.199937954657494	0.0890010183484062	0	0.13575534089939	0.137453141530837	0.036118287788359	0.00939826904665729	0	0.00289041818594026	0.0189085515489436	0.00079088440675341	0.0706442138706982	0.158879517466888	0.0532849556009695	0.0171733595212734	0.0107346461820015	0.0144755934501513	0	0	0.000521500540670985	0	0.390622933935756	0.920552842531661
TCGA-86-A456-01A	0.0256530949787061	0	0.0106713635985237	0.0582766196784554	0	0.14198671802199	0	0.0464095959806606	0.00527320408855042	0.00243568455554969	0	0.0184972166146127	0	0.151043878351962	0.082543270015313	0.369663498309217	0	0.0453088610678473	0	0.036140720703016	0	0.00609627403559476	0.01	0.312947928050744	0.966180493134921
TCGA-44-A47A-01A	0.00836564085724151	0	0	0.0284731400950084	0	0.0846141486108552	0	0.039763866296658	0.0746706651714269	0	0	0.014285186312902	0.00592938762197151	0.160841050149885	0.0113881267164306	0.108838165908088	0.273234009053325	0.115402980846542	0.0714935760959415	0	0	0.00270005626372487	0	0.536291554945576	0.846827054677871
TCGA-91-6828-01A	0.0070373394892639	0	0.0880132827300616	0.0756398890242321	0	0.25090284864223	0.0158807007217802	0	0	0	0	0.0434671301222681	0.0251917825475122	0.00672552320632206	0.0653030869021744	0.258836649010867	0.0804954591846671	0	0.0575391812898732	0	0	0.0249671271287476	0	0.389290706374488	0.920398890527189
TCGA-MP-A4TA-01A	0.029085210677896	0	0.0887077025560544	0.16414952433801	0	0.125792372439765	0.0181697742263444	0.0709226678853355	0.0667987146090479	0	0.039180337162935	0.020816889411377	0.014001686055697	0.0930489874814682	0.0981088098765991	0.120236655589984	0.00197111667668542	0.0277241746875626	0.0211477036404321	0	0	0.00013767268480551	0	0.331241187487353	0.948496672154687
TCGA-55-7726-01A	0	0	0.137692384618833	0.0170544360442473	0	0.206108850881465	0.000542094027642991	0	0	0	0	0.0185048651115397	0.0048957544874191	0.101483619452335	0.0693885902183392	0.0864268381284913	0.239499362119028	0.0307964941438295	0.046787124129574	0	0.0200931896914923	0.0207263969457631	0	0.381936734822475	0.923802997673512
TCGA-86-8359-01A	0	0	0.0861598873863032	0.298971476538794	0	0.0931289618989942	0.0504453677619886	0.0947486405782565	0.0996663794847679	0	0	0.0259698470689427	0	0.103337392738305	0.0527038694939446	0.0310864110991495	0.00436677421759547	0	0	0.0128022649091252	0	0.0466127268238326	0.01	0.29612601767174	0.972570039186917
TCGA-55-5899-01A	0.0308385087620761	0	0.0424632209952195	0.111843167218037	0	0.02142265348029	0.0346124847340893	0.0434205156781062	0.0237282685322031	0.0265028733892732	0.0104629411685402	0	0	0.275524173470413	0.0821819049386233	0.255001968076924	0.00334097730306326	0	0.0386563422531413	0	0	0	0.01	0.309695020635884	0.966910786692503
TCGA-62-8397-01A	0.00873877182116052	0	0.0546387583616726	0.0322597245301359	0	0.191539655896292	0	0.0111124332876333	0.0272660611662217	0	0	0.0223902667377732	0.122808661725236	0.0249438794454044	0	0.136694365610878	0.166449650395635	0.023327015796138	0.177830755225819	0	0	0	0.01	0.246480422614876	0.978946938884662
TCGA-99-8032-01A	0.0248335429169419	0	0.34729928370432	0.0626086909315389	0	0.16948121908872	0	0	0.0952383465586574	0	0	0.0336609828970848	0	0.115660271838095	0.0214717033592154	0.0669072801130359	0.0115883782355033	0.00344693105410842	0.0317868501317832	0	0	0.016016519170995	0	0.366506730924583	0.931000238664789
TCGA-MP-A4TC-01A	0.0157291111350488	0	0.0202057187242862	0.104853563771252	0	0.0603918078185057	0.0693229933750591	0.0176624528557628	0.0428153042511845	0	0.029533447278418	0.0172971917028136	0	0.291252358566494	0.102521597356728	0.148540807916613	0.0238581069305965	0	0	0.0527066518016147	0	0.00330888651562336	0	0.497722805679247	0.866480788688883
TCGA-75-5126-01A	0	0.0946875932646968	0	0.011608397834177	0	0.124007861700516	0.041220346721111	0	0.0139249061731765	0	0.0135027625553892	0.0073208031988974	0.0162769223480718	0.137195133044593	0.0767255462389224	0.266862473732872	0.0283567974944998	0.0204210396946834	0.0443994466138848	0	0.0425860925334979	0.0609038768510109	0	0.400164212730135	0.916466098568335
TCGA-95-A4VP-01A	0.118250851232859	0	0.0514945267495802	0.171350639916621	0	0.0929337186781868	0.00635171707770093	0.0481502089410751	0.136180367633761	0	0.027680568426694	0.0168927279685624	0.0187213746835244	0.0388762484045575	0.0497635267346301	0.139447837607595	0.0297101393437992	0.0199315901035682	0.0239851595435332	0	0	0.0102787969537509	0.01	0.2545238037107	0.979970727734293
TCGA-50-6673-01A	0.0486802190661981	0	0.125313673931851	0.0211141310042039	0	0.213535812426861	0.0191625994347186	0.031910739316052	0.0244254998506198	0	0	0.016116844591032	0.00554918410887116	0.158413108275517	0.0344342272603712	0.178258226084614	0.0334196115648952	0.0620272094082662	0.0125983125724481	0	0	0.0150406011034808	0.01	0.25718677848419	0.976348485402814
TCGA-86-7701-01A	0.0731493928549761	0	0.210486681363076	0.0603362865809159	0	0.192310538340009	0.0852986574779718	0.0405982088099635	0.0170499120952672	0.0252334370354662	0.0184568836210633	0	0	0.028774728259618	0.0484780351327138	0.103307337115565	0.0317420362582706	0.0237250304873222	0.0333789040552878	0	0	0.00767393051251324	0	0.351918558691827	0.935854542414516
TCGA-L9-A50W-01A	0.0414879467980973	0	0.133098335328306	0.0296465524033675	0	0.22818623676167	0	0.0105381046198371	0.0454886152741901	0	0	0.0482047608972047	0.00793754596255144	0.0215311803968559	0.0680809114817552	0.0475441248490308	0.194385931770673	0	0.118964734032241	0	0	0.00490501942421971	0.01	0.299664756354269	0.956086077144137
TCGA-75-6203-01A	0.0164286647777579	0	0	0.0761459517914288	0	0.116305853236354	0	0.0116785100195887	0.00239934650356274	0	0.0269710570822276	0.018658435472912	0.00795990641556074	0.185372211205032	0.023428551703682	0.352730211778733	0.0332884635644888	0.0140783365610623	0.0966892137631576	0	0	0.0178652861244511	0	0.390308093818348	0.924636181773725
TCGA-95-7948-01A	0.0121300594987689	0	0.14919461903582	0.110480240275838	0	0.155893106648263	0.0155661990206715	0.0320465692224715	0	0.00502245955320286	0	0.0420942407539558	0.0715354887030505	0	0.0343443054876587	0.161188447791518	0.0955022113133479	0.0546037273709578	0.0603983253244764	0	0	0	0.11	0.128817226634923	1.01855635728963
TCGA-78-7158-01A	0.00696586739059116	0	0.0296518848098591	0.045193956269143	0	0.213593054082166	0	0.0118401583722191	0.0265444400753995	0	0	0.0369820882951354	0.0325776488442561	0.0244459245327645	0.0503590345478269	0.244347047484119	0.127633296356401	0.029109806642814	0.111045792440672	0	0	0.00970999985663393	0.03	0.186589850616505	1.00507276365137
TCGA-49-4507-01A	0.017746621232169	0	0.0720899045233095	0.355341629442873	0	0	0.0939882598674254	0.0194721127306167	0.0108585373031173	0	0	0.110640464403442	0	0.0322810677564752	0.0715212297678797	0.123378118936512	0.0210031056982493	0	0.0648842842347442	0	0.00405471361757502	0.00273995048561089	0	0.484381453533691	0.874014212574678
TCGA-05-4398-01A	0	0	0.132494972424606	0.0410691151394668	0	0.110703610463727	0.00408793439519406	0.034445156636453	0.00866380282342476	0	0.0171129922767986	0	0.0383254984956149	0.0922851402295856	0.122292601192534	0.248103600701949	0.120256463723124	0	0	0.0240707027235353	0	0.00608840877398662	0	0.468047127419879	0.88355609307756
TCGA-86-7953-01A	0.0171434965052877	0.0118460358672277	0	0.0343059632644718	0	0.298221019157924	0.0068630034806069	0.0356011423633489	0.027937458288519	0	0.0380309144724111	0.00148262821244888	0.0673020543426735	0.0983811483441317	0.0437163812151515	0.176420093803648	0.0355916568696417	0.0331741774298572	0	0.0501869537243444	0.00943794873260458	0.0143579239257013	0	0.331747679148775	0.947297358886083
TCGA-86-A4D0-01A	0.0849358052181928	0	0.12632906221456	0.0354036501856747	0	0.0337263808922671	0.168715635097789	0.0418152419104731	0.000684602822078274	0.0106208173541218	0	0.101527737157508	0.000452804726573583	0.0262068672146525	0.0757375436863317	0.158585267625977	0.0775120577234651	0	0.0499827742490392	0	0	0.0077637519212971	0.01	0.218359470198702	0.990080141398143
TCGA-NJ-A4YQ-01A	0.041806054565746	0	0.126532821345884	0.160927732766084	0	0.00330912589917214	0.020836252490844	0.052183936057789	0.0468298038439317	0.0323534161201982	0	0.0469925957580086	0	0.22688169310709	0.0910694588100748	0.0876190974859759	0.00731933294767532	0	0.0553386788015268	0	0	0	0	0.555281972930422	0.840281635800885
TCGA-75-7027-01A	0.00988594076105921	0	0.183251673768207	0.0154449726504682	0	0.102584699768291	0.00169056342946901	0.0175385886672195	0.0022901305285565	0.00592176367521659	0	0.0292567835512532	0.0020964430400427	0.153230609141199	0.0892026486952801	0.193648233366016	0.0405890142213186	0	0.149352931337035	0	0	0.00401500339936737	0.01	0.268131063431637	0.972442112633697
